preco,idPrato,descricao,tipoDePrato,data,operacao,utilizador
90.06999969482422,1028,Candeia que vai à frente alumia duas vezes.,8,2014-05-25,INSERT,DBA
41.27000045776367,1029,Contra a má sorte, coração forte.,2,2014-05-25,INSERT,DBA
29.1299991607666,1030,Em pé de pobre é que o sapato aperta.,7,2014-05-25,INSERT,DBA
42.15999984741211,1031,O ruído faz pouco bem, o bem faz pouco ruído,10,2014-05-25,INSERT,DBA
37.459999084472656,1032,Cada homem é o arquiteto de sua própria fortuna.,10,2014-05-25,INSERT,DBA
31.600000381469727,1033,A quem tem fome dá o teu pão; ao triste dá-lhe o coração.,9,2014-05-25,INSERT,DBA
34.81999969482422,1034,Em lagoa com piranha,jacaré nada de costas.,5,2014-05-25,INSERT,DBA
43.02000045776367,1035,A quem erra perdoa uma vez e não três.,8,2014-05-25,INSERT,DBA
87.77999877929688,1036,Bolsa de jogador não tem fecho.,5,2014-05-25,INSERT,DBA
9.579999923706055,1037,Albarda-se o burro à vontade do dono.,10,2014-05-25,INSERT,DBA
96.44999694824219,1038,Dois bicudos não se beijam.,1,2014-05-25,INSERT,DBA
68.08000183105469,1039,Em casa de ferreiro, espeto de pau.,5,2014-05-25,INSERT,DBA
65.0,1040,Em pé de pobre é que o sapato aperta.,7,2014-05-25,INSERT,DBA
74.69000244140625,1041,É culpado o que vai à horta como o que fica à porta.,0,2014-05-25,INSERT,DBA
33.869998931884766,1042,A fome é má conselheira.,1,2014-05-25,INSERT,DBA
53.959999084472656,1043,Roupa suja se lava em casa,13,2014-05-25,INSERT,DBA
39.38999938964844,1044,A cada um aquilo que é seu.,5,2014-05-25,INSERT,DBA
29.25,1045,Homem sem dinheiro é um violão sem cordas.,7,2014-05-25,INSERT,DBA
21.90999984741211,1046,A mulher e o peixe no mar são difíceis de agarrar.,0,2014-05-25,INSERT,DBA
100.1500015258789,1047,Bom tempo e mau tempo, não duram todo o tempo.,4,2014-05-25,INSERT,DBA
87.80999755859375,1048,Amigo de muitos, confidente de poucos.,6,2014-05-25,INSERT,DBA
43.97999954223633,1049,Voz do povo, voz de Deus,5,2014-05-25,INSERT,DBA
62.810001373291016,1050,Cada terra com seu uso, cada roca com seu fuso.,4,2014-05-25,INSERT,DBA
30.920000076293945,1051,Antes burro vivo que sábio morto.,10,2014-05-25,INSERT,DBA
76.79000091552734,1052,Ama ao bom para que te ame, e ao mau para que não te difame.,10,2014-05-25,INSERT,DBA
72.8499984741211,1053,Bom é ter amigos, nem que seja no inferno.,13,2014-05-25,INSERT,DBA
80.44999694824219,1054,A desconfiança é mãe da segurança.,10,2014-05-25,INSERT,DBA
58.5099983215332,1055,O temor de Deus é o princípio da sabedoria,13,2014-05-25,INSERT,DBA
75.30999755859375,1056,Coice de égua não machuca cavalo.,9,2014-05-25,INSERT,DBA
85.0199966430664,1057,Bem fazer nunca se perde.,3,2014-05-25,INSERT,DBA
9.119999885559082,1058,Falar mal dos outros é fácil, difícil é falar bem.,8,2014-05-25,INSERT,DBA
